Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_Tax,Food Charges,Luggage Charges
0,3,0,22.0,1,0,7.25,0,2.175,10.875,4.35
1,1,1,38.0,1,0,71.2833,1,21.38499,106.92495,42.76998
1,3,1,26.0,0,0,7.925,0,2.3775,11.8875,4.755
1,1,1,35.0,1,0,53.1,0,15.93,79.65,31.86
0,3,0,35.0,0,0,8.05,0,2.415,12.075,4.83
0,1,0,54.0,0,0,51.8625,0,15.55875,77.79375,31.1175
0,3,0,2.0,3,1,21.075,0,6.3225,31.6125,12.645
1,3,1,27.0,0,2,11.1333,0,3.33999,16.69995,6.67998
1,2,1,14.0,1,0,30.0708,1,9.02124,45.1062,18.04248
1,3,1,4.0,1,1,16.7,0,5.01,25.05,10.02
1,1,1,58.0,0,0,26.55,0,7.965,39.825,15.93
0,3,0,20.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,39.0,1,5,31.275,0,9.3825,46.9125,18.765
0,3,1,14.0,0,0,7.8542,0,2.35626,11.7813,4.71252
1,2,1,55.0,0,0,16.0,0,4.8,24.0,9.6
0,3,0,2.0,4,1,29.125,2,8.7375,43.6875,17.475
0,3,1,31.0,1,0,18.0,0,5.4,27.0,10.8
0,2,0,35.0,0,0,26.0,0,7.8,39.0,15.6
1,2,0,34.0,0,0,13.0,0,3.9,19.5,7.8
1,3,1,15.0,0,0,8.0292,2,2.40876,12.0438,4.81752
1,1,0,28.0,0,0,35.5,0,10.65,53.25,21.3
0,3,1,8.0,3,1,21.075,0,6.3225,31.6125,12.645
1,3,1,38.0,1,5,31.3875,0,9.41625,47.08125,18.8325
0,1,0,19.0,3,2,263.0,0,78.9,394.5,157.8
0,1,0,40.0,0,0,27.7208,1,8.31624,41.5812,16.63248
0,2,0,66.0,0,0,10.5,0,3.15,15.75,6.3
0,1,0,28.0,1,0,82.1708,1,24.65124,123.2562,49.30248
0,1,0,42.0,1,0,52.0,0,15.6,78.0,31.2
0,3,0,21.0,0,0,8.05,0,2.415,12.075,4.83
0,3,1,18.0,2,0,18.0,0,5.4,27.0,10.8
1,3,1,14.0,1,0,11.2417,1,3.37251,16.86255,6.74502
0,3,1,40.0,1,0,9.475,0,2.8425,14.2125,5.685
0,2,1,27.0,1,0,21.0,0,6.3,31.5,12.6
1,2,1,3.0,1,2,41.5792,1,12.47376,62.3688,24.94752
1,3,1,19.0,0,0,7.8792,2,2.36376,11.8188,4.72752
0,3,1,18.0,1,0,17.8,0,5.34,26.7,10.68
0,3,0,7.0,4,1,39.6875,0,11.90625,59.53125,23.8125
0,3,0,21.0,0,0,7.8,0,2.34,11.7,4.68
1,1,1,49.0,1,0,76.7292,1,23.01876,115.0938,46.03752
1,2,1,29.0,1,0,26.0,0,7.8,39.0,15.6
0,1,0,65.0,0,1,61.9792,1,18.59376,92.9688,37.18752
1,2,1,21.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,28.5,0,0,7.2292,1,2.16876,10.8438,4.33752
1,2,1,5.0,1,2,27.75,0,8.325,41.625,16.65
0,3,0,11.0,5,2,46.9,0,14.07,70.35,28.14
0,3,0,22.0,0,0,7.2292,1,2.16876,10.8438,4.33752
0,1,0,45.0,1,0,83.475,0,25.0425,125.2125,50.085
0,3,0,4.0,3,2,27.9,0,8.37,41.85,16.74
1,2,1,29.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,19.0,0,0,8.1583,0,2.44749,12.23745,4.89498
1,3,1,17.0,4,2,7.925,0,2.3775,11.8875,4.755
0,3,0,26.0,2,0,8.6625,0,2.59875,12.99375,5.1975
0,2,0,32.0,0,0,10.5,0,3.15,15.75,6.3
0,3,1,16.0,5,2,46.9,0,14.07,70.35,28.14
0,2,0,21.0,0,0,73.5,0,22.05,110.25,44.1
0,3,0,26.0,1,0,14.4542,1,4.33626,21.6813,8.67252
1,3,0,32.0,0,0,56.4958,0,16.94874,84.7437,33.89748
0,3,0,25.0,0,0,7.65,0,2.295,11.475,4.59
1,2,0,0.83,0,2,29.0,0,8.7,43.5,17.4
1,3,1,30.0,0,0,12.475,0,3.7425,18.7125,7.485
0,3,0,22.0,0,0,9.0,0,2.7,13.5,5.4
1,3,0,29.0,0,0,9.5,0,2.85,14.25,5.7
0,1,0,28.0,0,0,47.1,0,14.13,70.65,28.26
1,2,1,17.0,0,0,10.5,0,3.15,15.75,6.3
1,3,1,33.0,3,0,15.85,0,4.755,23.775,9.51
0,3,0,16.0,1,3,34.375,0,10.3125,51.5625,20.625
1,1,1,23.0,3,2,263.0,0,78.9,394.5,157.8
0,3,0,24.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,29.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,20.0,0,0,7.8542,0,2.35626,11.7813,4.71252
0,1,0,46.0,1,0,61.175,0,18.3525,91.7625,36.705
0,3,0,26.0,1,2,20.575,0,6.1725,30.8625,12.345
0,3,0,59.0,0,0,7.25,0,2.175,10.875,4.35
0,1,0,71.0,0,0,34.6542,1,10.39626,51.9813,20.79252
1,1,0,23.0,0,1,63.3583,1,19.00749,95.03745,38.01498
1,2,1,34.0,0,1,23.0,0,6.9,34.5,13.8
0,2,0,34.0,1,0,26.0,0,7.8,39.0,15.6
0,3,1,28.0,0,0,7.8958,0,2.36874,11.8437,4.73748
0,1,0,21.0,0,1,77.2875,0,23.18625,115.93125,46.3725
0,3,0,33.0,0,0,8.6542,0,2.59626,12.9813,5.19252
0,3,0,37.0,2,0,7.925,0,2.3775,11.8875,4.755
0,3,0,28.0,0,0,7.8958,0,2.36874,11.8437,4.73748
1,3,1,21.0,0,0,7.65,0,2.295,11.475,4.59
0,3,0,38.0,0,0,7.8958,0,2.36874,11.8437,4.73748
0,1,0,47.0,0,0,52.0,0,15.6,78.0,31.2
0,3,1,14.5,1,0,14.4542,1,4.33626,21.6813,8.67252
0,3,0,22.0,0,0,8.05,0,2.415,12.075,4.83
0,3,1,20.0,1,0,9.825,0,2.9475,14.7375,5.895
0,3,1,17.0,0,0,14.4583,1,4.33749,21.68745,8.67498
0,3,0,21.0,0,0,7.925,0,2.3775,11.8875,4.755
0,3,0,70.5,0,0,7.75,2,2.325,11.625,4.65
0,2,0,29.0,1,0,21.0,0,6.3,31.5,12.6
0,1,0,24.0,0,1,247.5208,1,74.25624,371.2812,148.51248
0,3,1,2.0,4,2,31.275,0,9.3825,46.9125,18.765
0,2,0,21.0,2,0,73.5,0,22.05,110.25,44.1
0,2,0,32.5,1,0,30.0708,1,9.02124,45.1062,18.04248
1,2,1,32.5,0,0,13.0,0,3.9,19.5,7.8
0,1,0,54.0,0,1,77.2875,0,23.18625,115.93125,46.3725
1,3,0,12.0,1,0,11.2417,1,3.37251,16.86255,6.74502
1,3,0,24.0,0,0,7.1417,0,2.14251,10.71255,4.28502
0,3,0,45.0,0,0,6.975,0,2.0925,10.4625,4.185
0,3,0,33.0,0,0,7.8958,1,2.36874,11.8437,4.73748
0,3,0,20.0,0,0,7.05,0,2.115,10.575,4.23
0,3,1,47.0,1,0,14.5,0,4.35,21.75,8.7
1,2,1,29.0,1,0,26.0,0,7.8,39.0,15.6
0,2,0,25.0,0,0,13.0,0,3.9,19.5,7.8
0,2,0,23.0,0,0,15.0458,1,4.51374,22.5687,9.02748
1,1,1,19.0,0,2,26.2833,0,7.88499,39.42495,15.76998
0,1,0,37.0,1,0,53.1,0,15.93,79.65,31.86
0,3,0,16.0,0,0,9.2167,0,2.76501,13.82505,5.53002
0,1,0,24.0,0,0,79.2,1,23.76,118.8,47.52
1,3,1,22.0,0,0,7.75,0,2.325,11.625,4.65
1,3,1,24.0,1,0,15.85,0,4.755,23.775,9.51
0,3,0,19.0,0,0,6.75,2,2.025,10.125,4.05
0,2,0,18.0,0,0,11.5,0,3.45,17.25,6.9
0,2,0,19.0,1,1,36.75,0,11.025,55.125,22.05
1,3,0,27.0,0,0,7.7958,0,2.33874,11.6937,4.67748
0,3,1,9.0,2,2,34.375,0,10.3125,51.5625,20.625
0,2,0,36.5,0,2,26.0,0,7.8,39.0,15.6
0,2,0,42.0,0,0,13.0,0,3.9,19.5,7.8
0,2,0,51.0,0,0,12.525,0,3.7575,18.7875,7.515
1,1,1,22.0,1,0,66.6,0,19.98,99.9,39.96
0,3,0,55.5,0,0,8.05,0,2.415,12.075,4.83
0,3,0,40.5,0,2,14.5,0,4.35,21.75,8.7
0,1,0,51.0,0,1,61.3792,1,18.41376,92.0688,36.82752
1,3,1,16.0,0,0,7.7333,2,2.31999,11.59995,4.63998
0,3,0,30.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,44.0,0,1,16.1,0,4.83,24.15,9.66
1,2,1,40.0,0,0,15.75,0,4.725,23.625,9.45
0,3,0,26.0,0,0,7.775,0,2.3325,11.6625,4.665
0,3,0,17.0,0,0,8.6625,0,2.59875,12.99375,5.1975
0,3,0,1.0,4,1,39.6875,0,11.90625,59.53125,23.8125
1,3,0,9.0,0,2,20.525,0,6.1575,30.7875,12.315
0,3,1,45.0,1,4,27.9,0,8.37,41.85,16.74
0,3,0,28.0,0,0,56.4958,0,16.94874,84.7437,33.89748
0,1,0,61.0,0,0,33.5,0,10.05,50.25,20.1
0,3,0,4.0,4,1,29.125,2,8.7375,43.6875,17.475
1,3,1,1.0,1,1,11.1333,0,3.33999,16.69995,6.67998
0,3,0,21.0,0,0,7.925,0,2.3775,11.8875,4.755
0,1,0,56.0,0,0,30.6958,1,9.20874,46.0437,18.41748
0,3,0,18.0,1,1,7.8542,0,2.35626,11.7813,4.71252
0,1,1,50.0,0,0,28.7125,1,8.61375,43.06875,17.2275
0,2,0,30.0,0,0,13.0,0,3.9,19.5,7.8
0,3,0,36.0,0,0,0.0,0,0.0,0.0,0.0
0,3,0,9.0,4,2,31.3875,0,9.41625,47.08125,18.8325
1,2,0,1.0,2,1,39.0,0,11.7,58.5,23.4
1,3,1,4.0,0,2,22.025,0,6.6075,33.0375,13.215
1,1,0,45.0,0,0,26.55,0,7.965,39.825,15.93
0,3,0,40.0,1,1,15.5,2,4.65,23.25,9.3
0,3,0,36.0,0,0,7.8958,0,2.36874,11.8437,4.73748
1,2,1,32.0,0,0,13.0,0,3.9,19.5,7.8
0,2,0,19.0,0,0,13.0,0,3.9,19.5,7.8
1,3,1,19.0,1,0,7.8542,0,2.35626,11.7813,4.71252
1,2,0,3.0,1,1,26.0,0,7.8,39.0,15.6
1,1,1,44.0,0,0,27.7208,1,8.31624,41.5812,16.63248
1,1,1,58.0,0,0,146.5208,1,43.95624,219.7812,87.91248
0,3,0,42.0,0,1,8.4042,0,2.52126,12.6063,5.04252
0,2,1,24.0,0,0,13.0,0,3.9,19.5,7.8
0,3,0,28.0,0,0,9.5,0,2.85,14.25,5.7
0,3,0,34.0,0,0,6.4958,0,1.94874,9.7437,3.89748
0,3,0,45.5,0,0,7.225,1,2.1675,10.8375,4.335
1,3,0,18.0,0,0,8.05,0,2.415,12.075,4.83
0,3,1,2.0,0,1,10.4625,0,3.13875,15.69375,6.2775
0,3,0,32.0,1,0,15.85,0,4.755,23.775,9.51
1,3,0,26.0,0,0,18.7875,1,5.63625,28.18125,11.2725
1,3,1,16.0,0,0,7.75,2,2.325,11.625,4.65
1,1,0,40.0,0,0,31.0,1,9.3,46.5,18.6
0,3,0,24.0,0,0,7.05,0,2.115,10.575,4.23
1,2,1,35.0,0,0,21.0,0,6.3,31.5,12.6
0,3,0,22.0,0,0,7.25,0,2.175,10.875,4.35
0,2,0,30.0,0,0,13.0,0,3.9,19.5,7.8
1,1,1,31.0,1,0,113.275,1,33.9825,169.9125,67.965
1,3,1,27.0,0,0,7.925,0,2.3775,11.8875,4.755
0,2,0,42.0,1,0,27.0,0,8.1,40.5,16.2
1,1,1,32.0,0,0,76.2917,1,22.88751,114.43755,45.77502
0,2,0,30.0,0,0,10.5,0,3.15,15.75,6.3
1,3,0,16.0,0,0,8.05,0,2.415,12.075,4.83
0,2,0,27.0,0,0,13.0,0,3.9,19.5,7.8
0,3,0,51.0,0,0,8.05,0,2.415,12.075,4.83
1,1,0,38.0,1,0,90.0,0,27.0,135.0,54.0
0,3,0,22.0,0,0,9.35,0,2.805,14.025,5.61
1,2,0,19.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,20.5,0,0,7.25,0,2.175,10.875,4.35
0,2,0,18.0,0,0,13.0,0,3.9,19.5,7.8
1,1,1,35.0,1,0,83.475,0,25.0425,125.2125,50.085
0,3,0,29.0,0,0,7.775,0,2.3325,11.6625,4.665
0,2,0,59.0,0,0,13.5,0,4.05,20.25,8.1
1,3,1,5.0,4,2,31.3875,0,9.41625,47.08125,18.8325
0,2,0,24.0,0,0,10.5,0,3.15,15.75,6.3
0,2,0,44.0,1,0,26.0,0,7.8,39.0,15.6
1,2,1,8.0,0,2,26.25,0,7.875,39.375,15.75
0,2,0,19.0,0,0,10.5,0,3.15,15.75,6.3
0,2,0,33.0,0,0,12.275,0,3.6825,18.4125,7.365
0,2,0,29.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,22.0,0,0,7.125,0,2.1375,10.6875,4.275
0,3,0,30.0,0,0,7.225,1,2.1675,10.8375,4.335
0,1,0,44.0,2,0,90.0,2,27.0,135.0,54.0
0,3,1,25.0,0,0,7.775,0,2.3325,11.6625,4.665
1,2,1,24.0,0,2,14.5,0,4.35,21.75,8.7
1,1,0,37.0,1,1,52.5542,0,15.76626,78.8313,31.53252
0,2,0,54.0,1,0,26.0,0,7.8,39.0,15.6
0,3,1,29.0,1,1,10.4625,0,3.13875,15.69375,6.2775
0,1,0,62.0,0,0,26.55,0,7.965,39.825,15.93
0,3,0,30.0,1,0,16.1,0,4.83,24.15,9.66
0,3,1,41.0,0,2,20.2125,0,6.06375,30.31875,12.1275
1,3,1,29.0,0,2,15.2458,1,4.57374,22.8687,9.14748
1,1,1,30.0,0,0,86.5,0,25.95,129.75,51.9
1,1,1,35.0,0,0,512.3292,1,153.69876,768.4938,307.39752
1,2,1,50.0,0,1,26.0,0,7.8,39.0,15.6
1,3,0,3.0,4,2,31.3875,0,9.41625,47.08125,18.8325
0,1,0,52.0,1,1,79.65,0,23.895,119.475,47.79
0,1,0,40.0,0,0,0.0,0,0.0,0.0,0.0
0,2,0,36.0,0,0,10.5,0,3.15,15.75,6.3
0,3,0,16.0,4,1,39.6875,0,11.90625,59.53125,23.8125
1,3,0,25.0,1,0,7.775,0,2.3325,11.6625,4.665
1,1,1,58.0,0,1,153.4625,0,46.03875,230.19375,92.0775
1,1,1,35.0,0,0,135.6333,0,40.68999,203.44995,81.37998
1,3,0,25.0,0,0,0.0,0,0.0,0.0,0.0
1,2,1,41.0,0,1,19.5,0,5.85,29.25,11.7
0,1,0,37.0,0,1,29.7,1,8.91,44.55,17.82
1,1,1,63.0,1,0,77.9583,0,23.38749,116.93745,46.77498
0,3,1,45.0,0,0,7.75,0,2.325,11.625,4.65
0,3,0,7.0,4,1,29.125,2,8.7375,43.6875,17.475
1,3,1,35.0,1,1,20.25,0,6.075,30.375,12.15
0,3,0,65.0,0,0,7.75,2,2.325,11.625,4.65
0,3,0,28.0,0,0,7.8542,0,2.35626,11.7813,4.71252
0,3,0,16.0,0,0,9.5,0,2.85,14.25,5.7
1,3,0,19.0,0,0,8.05,0,2.415,12.075,4.83
0,3,0,33.0,0,0,8.6625,1,2.59875,12.99375,5.1975
1,3,0,30.0,0,0,9.5,0,2.85,14.25,5.7
0,3,0,22.0,0,0,7.8958,0,2.36874,11.8437,4.73748
1,2,0,42.0,0,0,13.0,0,3.9,19.5,7.8
1,3,1,22.0,0,0,7.75,2,2.325,11.625,4.65
1,1,1,26.0,0,0,78.85,0,23.655,118.275,47.31
1,1,1,19.0,1,0,91.0792,1,27.32376,136.6188,54.64752
0,2,0,36.0,0,0,12.875,1,3.8625,19.3125,7.725
0,3,1,24.0,0,0,8.85,0,2.655,13.275,5.31
0,3,0,24.0,0,0,7.8958,0,2.36874,11.8437,4.73748
0,3,0,23.5,0,0,7.2292,1,2.16876,10.8438,4.33752
0,1,1,2.0,1,2,151.55,0,45.465,227.325,90.93
1,1,1,50.0,0,1,247.5208,1,74.25624,371.2812,148.51248
0,3,0,19.0,0,0,0.0,0,0.0,0.0,0.0
1,1,0,0.92,1,2,151.55,0,45.465,227.325,90.93
1,1,1,17.0,1,0,108.9,1,32.67,163.35,65.34
0,2,0,30.0,1,0,24.0,1,7.2,36.0,14.4
1,1,1,30.0,0,0,56.9292,1,17.07876,85.3938,34.15752
1,1,1,24.0,0,0,83.1583,1,24.94749,124.73745,49.89498
1,1,1,18.0,2,2,262.375,1,78.7125,393.5625,157.425
0,2,1,26.0,1,1,26.0,0,7.8,39.0,15.6
0,3,0,28.0,0,0,7.8958,0,2.36874,11.8437,4.73748
0,2,0,43.0,1,1,26.25,0,7.875,39.375,15.75
1,3,1,26.0,0,0,7.8542,0,2.35626,11.7813,4.71252
1,2,1,24.0,1,0,26.0,0,7.8,39.0,15.6
0,2,0,54.0,0,0,14.0,0,4.2,21.0,8.4
1,1,1,31.0,0,2,164.8667,0,49.46001,247.30005,98.92002
1,1,1,40.0,1,1,134.5,1,40.35,201.75,80.7
0,3,0,22.0,0,0,7.25,0,2.175,10.875,4.35
0,3,0,27.0,0,0,7.8958,0,2.36874,11.8437,4.73748
1,2,1,30.0,0,0,12.35,2,3.705,18.525,7.41
1,2,1,22.0,1,1,29.0,0,8.7,43.5,17.4
1,1,1,36.0,0,0,135.6333,1,40.68999,203.44995,81.37998
0,3,0,61.0,0,0,6.2375,0,1.87125,9.35625,3.7425
1,2,1,36.0,0,0,13.0,0,3.9,19.5,7.8
1,3,1,31.0,1,1,20.525,0,6.1575,30.7875,12.315
1,1,1,16.0,0,1,57.9792,1,17.39376,86.9688,34.78752
0,1,0,45.5,0,0,28.5,0,8.55,42.75,17.1
0,1,0,38.0,0,1,153.4625,0,46.03875,230.19375,92.0775
0,3,0,16.0,2,0,18.0,0,5.4,27.0,10.8
0,1,0,29.0,1,0,66.6,0,19.98,99.9,39.96
1,1,1,41.0,0,0,134.5,1,40.35,201.75,80.7
1,3,0,45.0,0,0,8.05,0,2.415,12.075,4.83
0,1,0,45.0,0,0,35.5,0,10.65,53.25,21.3
1,2,0,2.0,1,1,26.0,0,7.8,39.0,15.6
1,1,1,24.0,3,2,263.0,0,78.9,394.5,157.8
0,2,0,28.0,0,0,13.0,0,3.9,19.5,7.8
0,2,0,25.0,0,0,13.0,0,3.9,19.5,7.8
0,2,0,36.0,0,0,13.0,0,3.9,19.5,7.8
1,2,1,24.0,0,0,13.0,0,3.9,19.5,7.8
1,2,1,40.0,0,0,13.0,0,3.9,19.5,7.8
1,3,0,3.0,1,1,15.9,0,4.77,23.85,9.54
0,3,0,42.0,0,0,8.6625,0,2.59875,12.99375,5.1975
0,3,0,23.0,0,0,9.225,0,2.7675,13.8375,5.535
0,3,0,15.0,1,1,7.2292,1,2.16876,10.8438,4.33752
0,3,0,25.0,1,0,17.8,0,5.34,26.7,10.68
0,3,0,28.0,0,0,9.5,0,2.85,14.25,5.7
1,1,1,22.0,0,1,55.0,0,16.5,82.5,33.0
0,2,1,38.0,0,0,13.0,0,3.9,19.5,7.8
0,3,0,40.0,1,4,27.9,0,8.37,41.85,16.74
0,2,0,29.0,1,0,27.7208,1,8.31624,41.5812,16.63248
0,3,1,45.0,0,1,14.4542,1,4.33626,21.6813,8.67252
0,3,0,35.0,0,0,7.05,0,2.115,10.575,4.23
0,3,0,30.0,0,0,7.25,0,2.175,10.875,4.35
1,1,1,60.0,1,0,75.25,1,22.575,112.875,45.15
1,1,1,24.0,0,0,69.3,1,20.79,103.95,41.58
1,1,0,25.0,1,0,55.4417,1,16.63251,83.16255,33.26502
0,3,0,18.0,1,0,6.4958,0,1.94874,9.7437,3.89748
0,3,0,19.0,0,0,8.05,0,2.415,12.075,4.83
0,1,0,22.0,0,0,135.6333,1,40.68999,203.44995,81.37998
0,3,1,3.0,3,1,21.075,0,6.3225,31.6125,12.645
1,3,1,22.0,0,0,7.25,0,2.175,10.875,4.35
0,1,0,27.0,0,2,211.5,1,63.45,317.25,126.9
0,3,0,20.0,0,0,4.0125,1,1.20375,6.01875,2.4075
0,3,0,19.0,0,0,7.775,0,2.3325,11.6625,4.665
1,1,1,42.0,0,0,227.525,1,68.2575,341.2875,136.515
1,3,1,1.0,0,2,15.7417,1,4.72251,23.61255,9.44502
0,3,0,32.0,0,0,7.925,0,2.3775,11.8875,4.755
1,1,1,35.0,1,0,52.0,0,15.6,78.0,31.2
0,2,0,18.0,0,0,73.5,0,22.05,110.25,44.1
0,3,0,1.0,5,2,46.9,0,14.07,70.35,28.14
1,2,1,36.0,0,0,13.0,0,3.9,19.5,7.8
1,2,1,17.0,0,0,12.0,1,3.6,18.0,7.2
1,1,0,36.0,1,2,120.0,0,36.0,180.0,72.0
1,3,0,21.0,0,0,7.7958,0,2.33874,11.6937,4.67748
0,3,0,28.0,2,0,7.925,0,2.3775,11.8875,4.755
1,1,1,23.0,1,0,113.275,1,33.9825,169.9125,67.965
1,3,1,24.0,0,2,16.7,0,5.01,25.05,10.02
0,3,0,22.0,0,0,7.7958,0,2.33874,11.6937,4.67748
0,3,1,31.0,0,0,7.8542,0,2.35626,11.7813,4.71252
0,2,0,46.0,0,0,26.0,0,7.8,39.0,15.6
0,2,0,23.0,0,0,10.5,0,3.15,15.75,6.3
1,2,1,28.0,0,0,12.65,0,3.795,18.975,7.59
1,3,0,39.0,0,0,7.925,0,2.3775,11.8875,4.755
0,3,0,26.0,0,0,8.05,0,2.415,12.075,4.83
0,3,1,21.0,1,0,9.825,0,2.9475,14.7375,5.895
0,3,0,28.0,1,0,15.85,0,4.755,23.775,9.51
0,3,1,20.0,0,0,8.6625,0,2.59875,12.99375,5.1975
0,2,0,34.0,1,0,21.0,0,6.3,31.5,12.6
0,3,0,51.0,0,0,7.75,0,2.325,11.625,4.65
1,2,0,3.0,1,1,18.75,0,5.625,28.125,11.25
0,3,0,21.0,0,0,7.775,0,2.3325,11.6625,4.665
1,1,1,33.0,1,0,90.0,2,27.0,135.0,54.0
1,3,0,44.0,0,0,7.925,0,2.3775,11.8875,4.755
1,2,1,34.0,1,1,32.5,0,9.75,48.75,19.5
1,2,1,18.0,0,2,13.0,0,3.9,19.5,7.8
0,2,0,30.0,0,0,13.0,0,3.9,19.5,7.8
0,3,1,10.0,0,2,24.15,0,7.245,36.225,14.49
0,3,0,21.0,0,0,7.7333,2,2.31999,11.59995,4.63998
0,3,0,29.0,0,0,7.875,0,2.3625,11.8125,4.725
0,3,1,28.0,1,1,14.4,0,4.32,21.6,8.64
0,3,0,18.0,1,1,20.2125,0,6.06375,30.31875,12.1275
1,2,1,28.0,1,0,26.0,0,7.8,39.0,15.6
1,2,1,19.0,0,0,26.0,0,7.8,39.0,15.6
1,3,0,32.0,0,0,8.05,0,2.415,12.075,4.83
1,1,0,28.0,0,0,26.55,0,7.965,39.825,15.93
1,2,1,42.0,1,0,26.0,0,7.8,39.0,15.6
0,3,0,17.0,0,0,7.125,0,2.1375,10.6875,4.275
0,1,0,50.0,1,0,55.9,0,16.77,83.85,33.54
1,1,1,14.0,1,2,120.0,0,36.0,180.0,72.0
0,3,1,21.0,2,2,34.375,0,10.3125,51.5625,20.625
1,2,1,24.0,2,3,18.75,0,5.625,28.125,11.25
0,1,0,64.0,1,4,263.0,0,78.9,394.5,157.8
0,2,0,31.0,0,0,10.5,0,3.15,15.75,6.3
1,2,1,45.0,1,1,26.25,0,7.875,39.375,15.75
0,3,0,20.0,0,0,9.5,0,2.85,14.25,5.7
0,3,0,25.0,1,0,7.775,0,2.3325,11.6625,4.665
1,2,1,28.0,0,0,13.0,0,3.9,19.5,7.8
